# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	459
#@/user_id	1b1956fa-e7eb-4c46-9160-185902ff9fc6
a 	啊	c=1 d=1 t=393
mei xiang dao ni 	沒想到你	c=1 d=1 t=330
mi ling 	密令	c=1 d=1 t=459
min 	民	c=0 d=0.1 t=83
min gan 	敏感	c=2 d=2.15582 t=268
min gan xia qu 	敏感下去	c=1 d=1 t=244
mu lu 	目錄	c=2 d=1.97531 t=94
na li 	那裏	c=1 d=1 t=221
na wo 	那我	c=1 d=1 t=421
ne 	呢	c=1 d=1 t=17
ni 	你	c=6 d=3.2127 t=329
ni de 	你的	c=3 d=2.9218 t=48
ni kan kan 	你看看	c=1 d=1 t=292
ni tai 	你太	c=0 d=0.1 t=241
ni tai min gan le 	你太敏感了	c=1 d=1 t=242
ni zhe ge 	你這個	c=1 d=1 t=256
ni zhe me 	你這麼	c=1 d=1 t=316
ni zhe zhong ren 	你這種人	c=1 d=1 t=298
nian qing ren 	年輕人	c=1 d=1 t=226
nong 	弄	c=1 d=1 t=18
nuan he 	暖和	c=0 d=0.1 t=202
o pen 	哦噴	c=1 d=1 t=437
ou 	偶	c=0 d=0.1 t=32
pei zhi 	配置	c=1 d=1 t=75
peng 	碰	c=1 d=1 t=106
peng you 	朋友	c=1 d=1 t=13
pin yin 	拼音	c=1 d=1.09003 t=30
pin zhi 	品質	c=1 d=1 t=291
ping jia 	評價	c=2 d=1.97531 t=188
ping lun 	評論	c=1 d=1 t=283
qi shi 	其實	c=1 d=1 t=310
qian 	前	c=0 d=0.164726 t=286
qian 	錢	c=2 d=1.22764 t=444
qie 	切	c=1 d=0.99005 t=459
qin shen jing li 	親身經歷	c=1 d=1 t=422
qiu 	求	c=1 d=1 t=356
quan bu 	全部	c=0 d=0.1 t=212
quan bu xin kuan de yi fu 	全部新款的衣服	c=1 d=1 t=213
quan guo 	全國	c=1 d=1 t=115
quan jia 	全家	c=0 d=0.1 t=338
quan jia ren 	全家人	c=1 d=1 t=344
quan jia si guang 	全家死光	c=1 d=1 t=339
quan quan 	全權	c=1 d=1 t=138
ren 	人	c=2 d=1.92774 t=304
ren xin 	人心	c=1 d=1 t=447
ru ci 	如此	c=1 d=1 t=362
ru he 	如何	c=1 d=1 t=27
ruan jian 	軟件	c=1 d=1.09003 t=103
ruan kong 	軟空	c=1 d=1 t=279
shang tao 	上套	c=1 d=1 t=332
shao le 	少了	c=2 d=1.97045 t=42
she zhi cheng 	設置成	c=1 d=1 t=28
shen bian 	身邊	c=3 d=2.9605 t=430
shen jing 	神經	c=2 d=2.03315 t=274
shen jing zhuang tai 	神經狀態	c=1 d=1 t=257
shen me 	什麼	c=1 d=1 t=409
shen tong 	申通	c=3 d=2.98506 t=160
sheng dong 	生動	c=1 d=1 t=385
shi 	事	c=0 d=0.1 t=351
shi 	是	c=7 d=2.45628 t=459
